yolo_class_idx,class_name,coco_category_id,AP@0.5:0.95,AP@0.5
0,person,1,0.41611725841184083,0.6109275527808888
1,bicycle,2,0.20791752704298755,0.35212043745844995
2,car,3,0.29923499306780516,0.46707781473950033
3,motorcycle,4,0.30713524121839253,0.5091640038216462
4,airplane,5,0.49452749783672784,0.6664066486238714
5,bus,6,0.48528651988636295,0.5962379687663161
6,train,7,0.49620017848471776,0.6742259777328943
7,truck,8,0.26653134876397133,0.3947500967742168
8,boat,9,0.16144011885994053,0.31705239665341883
9,traffic light,10,0.18431454985194407,0.36578708868538334
10,fire hydrant,11,0.458387480155111,0.5890562024347229
